"Gross national income (GNI) per capita (constant 2017 PPP$)"
"Dimension: Income/composition of resources"
"SDG 8.5 By 2030, achieve full and productive employment and decent work for all women and men,including for young people and persons with disabilities, and equal pay for work of equal value"
"Definition: Aggregate income of an economy generated by its production and its ownership of factors of production, less the incomes paid for the use of factors of production owned by the rest of the world, converted to international dollars using PPP rates, divided by midyear population."
"Source: World Bank (2020a), IMF (2020) and United Nations Statistics Division (2020b)"
""
"HDI Rank","Country","1990","","1991","","1992","","1993","","1994","","1995","","1996","","1997","","1998","","1999","","2000","","2001","","2002","","2003","","2004","","2005","","2006","","2007","","2008","","2009","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018","","2019",""
"137"," Lao People's Democratic Republic","1944","","1972","","2025","","2089","","2193","","2297","","2403","","2466","","2506","","2678","","2715","","2831","","2987","","3062","","3279","","3508","","3311","","3932","","4115","","4435","","4548","","4794","","5161","","5528","","5920","","6253","","6597","","6875","","7192","","7413",""
"37"," Latvia","18332","","16502","","10717","","9238","","9430","","9563","","9908","","10911","","11705","","11944","","12841","","13887","","15029","","16351","","17631","","19941","","22190","","24470","","24326","","22995","","21167","","22658","","23747","","24679","","25366","","26342","","27139","","28359","","29410","","30282",""
"92"," Lebanon","9197","","11000","","12404","","12823","","13383","","13845","","14885","","14728","","14957","","14716","","14641","","14304","","13499","","11549","","13723","","14139","","14402","","16065","","17277","","18471","","19249","","18628","","17962","","17433","","16792","","16119","","15831","","15942","","15519","","14655",""
"165"," Lesotho","2484","","2377","","2362","","2359","","2317","","2313","","2382","","2484","","2853","","2853","","2782","","2749","","2785","","2900","","2890","","2773","","2790","","2827","","2965","","2894","","2981","","3008","","3074","","3118","","3126","","3077","","3207","","3150","","3119","","3151",""
"175"," Liberia","1753","","1530","","1012","","687","","535","","498","","528","","1011","","1223","","1178","","1533","","1474","","1467","","990","","1103","","1128","","1175","","1253","","1288","","1273","","1293","","1388","","1405","","1489","","1462","","1442","","1383","","1376","","1319","","1258",""
"105"," Libya","68259","","77070","","73264","","68987","","68864","","66021","","66251","","68646","","65329","","64637","","64987","","64415","","62949","","70501","","70489","","76657","","82426","","84981","","95664","","93881","","96021","","36968","","80487","","38998","","18899","","10052","","8309","","13686","","15526","","15688",""
"19"," Liechtenstein","62153","","62470","","63861","","65690","","69160","","72147","","75977","","80233","","85173","","91213","","94254","","84904","","81695","","76990","","76100","","81769","","90727","","100596","","97577","","82811","","86670","","77215","","68374","","90116","","92963","","94259","","111841","","126079","","130748","","131032","d,e"
"34"," Lithuania","18130","","17120","","13531","","11380","","10319","","10682","","11205","","12109","","13059","","12986","","13671","","14747","","15924","","17503","","18936","","20859","","22642","","24983","","25980","","23589","","23850","","25279","","26553","","28039","","29573","","29705","","30822","","32561","","34264","","35799",""
"23"," Luxembourg","70538","","76220","","75883","","77211","","76542","","78969","","79073","","85514","","86069","","89426","","93991","","97657","","91408","","84368","","97398","","99778","","91297","","107701","","101377","","73926","","79133","","75665","","73926","","71841","","72042","","72407","","72259","","72746","","72476","","72712",""
"164"," Madagascar","1781","","1608","","1596","","1585","","1527","","1506","","1506","","1517","","1531","","1558","","1583","","1630","","1385","","1476","","1513","","1529","","1562","","1628","","1689","","1571","","1532","","1516","","1496","","1486","","1506","","1495","","1507","","1541","","1569","","1596",""
"174"," Malawi","1405","","1509","","1308","","1438","","1333","","1287","","1028","","1480","","1444","","1431","","1422","","1309","","726","","749","","770","","777","","792","","848","","888","","929","","959","","978","","960","","975","","1005","","996","","1025","","1012","","1018","","1035",""
"62"," Malaysia","9928","","10514","","11126","","11976","","12757","","13659","","14640","","15214","","13711","","13978","","14700","","14606","","15178","","15898","","16662","","17325","","18211","","19134","","19467","","19045","","19881","","20777","","21307","","22093","","23113","","24118","","24846","","25897","","26557","","27534",""
"95"," Maldives","7481","","7823","","8083","","8356","","8697","","9110","","10010","","10724","","11038","","11635","","12064","","11265","","11936","","13054","","13564","","11751","","14385","","14977","","16017","","14487","","15050","","15675","","15373","","15773","","16183","","15922","","16192","","16564","","17043","","17417",""
"184"," Mali","1409","","1549","","1461","","1473","","1471","","1436","","1497","","1526","","1602","","1657","","1615","","1742","","1719","","1871","","1842","","1901","","1914","","1918","","1953","","1948","","2000","","2008","","1929","","1929","","2020","","2092","","2136","","2175","","2224","","2269",""
"28"," Malta","20377","","21209","","21741","","22325","","22972","","24026","","24561","","25639","","26216","","27902","","28497","","29321","","29502","","28651","","28546","","28457","","28774","","29956","","30970","","28675","","30019","","30931","","31253","","32198","","34498","","36784","","36812","","37832","","39434","","39555",""
"117"," Marshall Islands","4086","","3993","","4206","","4406","","4629","","4985","","4465","","4232","","4263","","4273","","4507","","4674","","4598","","4474","","4430","","4503","","4397","","4490","","4160","","4170","","4329","","4294","","4041","","4279","","4403","","4781","","4777","","4857","","4950","","5039",""
"157"," Mauritania","4474","","4484","","4460","","4577","","4316","","4622","","4965","","4634","","4664","","4721","","4390","","4143","","4268","","4430","","4507","","4735","","5233","","5009","","4897","","4834","","4702","","4686","","4728","","4792","","4816","","4986","","4956","","5005","","5015","","5135",""
"66"," Mauritius","8046","","8398","","8840","","9159","","9333","","9669","","10053","","10553","","11053","","11226","","12032","","12415","","12526","","13072","","13592","","13765","","14489","","15541","","16147","","16463","","16927","","17424","","18865","","20120","","20828","","21651","","22407","","23536","","24408","","25266",""
"74"," Mexico","14500","","14917","","15181","","15249","","15716","","14287","","15067","","15983","","16555","","16822","","17402","","17142","","16924","","16931","","17392","","17428","","18059","","18172","","18159","","16900","","17601","","17918","","18259","","18087","","18468","","18817","","19101","","19300","","19476","","19160",""
"136"," Micronesia (Federated States of)","3578","","3639","","3570","","3599","","3538","","3663","","3512","","3184","","3259","","3396","","3564","","3613","","3628","","3691","","3643","","3753","","3769","","3756","","3658","","3836","","3832","","3921","","3863","","3779","","3641","","4148","","4048","","3974","","3940","","3983",""
"90"," Moldova (Republic of)","14171","","11668","","8201","","8136","","5645","","5619","","5520","","5597","","5214","","5047","","5144","","5720","","6345","","6924","","7579","","8156","","8429","","8535","","9241","","8404","","9148","","9659","","9835","","10735","","11204","","10957","","11541","","12323","","12971","","13664",""
"99"," Mongolia","4622","","4408","","4020","","3722","","3903","","4227","","4288","","4423","","4592","","4668","","4563","","4612","","4831","","5078","","5745","","5886","","6358","","6842","","7284","","6992","","6948","","7965","","8805","","9882","","10181","","10231","","10122","","9719","","10763","","10839",""
"48"," Montenegro","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","15397","","16356","","17569","","16283","","16545","","17329","","17006","","17644","","17818","","18594","","18865","","20035","","20847","","21399",""
"121"," Morocco","3710","","3896","","3759","","3646","","3988","","3698","","4129","","4007","","4268","","4263","","4287","","4551","","4652","","4881","","5075","","5209","","5532","","5672","","5945","","6048","","6199","","6419","","6497","","6742","","6758","","6995","","6973","","7171","","7281","","7368",""
"181"," Mozambique","458","","471","","420","","448","","458","","459","","497","","540","","582","","644","","617","","673","","663","","741","","766","","791","","819","","867","","910","","970","","998","","1061","","1117","","1163","","1205","","1241","","1248","","1245","","1265","","1250",""
"147"," Myanmar","642","","628","","681","","714","","759","","802","","844","","880","","884","","968","","1089","","1199","","1330","","1500","","1689","","1903","","2137","","2377","","2605","","2861","","3127","","3277","","3340","","3624","","3843","","4137","","4363","","4605","","4852","","4961",""
"130"," Namibia","5961","","6356","","6479","","6252","","6198","","6434","","6385","","6505","","6628","","6564","","6878","","6800","","7126","","7537","","8051","","7924","","8405","","8460","","8540","","8389","","8574","","8949","","9105","","9818","","10169","","10482","","10071","","9866","","9618","","9357",""
".."," Nauru","18986","","14967","","12196","","9988","","9395","","8563","","7492","","6832","","6134","","5707","","5482","","5016","","4623","","4987","","4170","","4480","","2682","","3419","","6274","","5044","","5765","","6245","","7026","","9263","","12243","","12953","","14342","","14954","","16080","","16237",""
"142"," Nepal","1372","","1421","","1440","","1456","","1535","","1553","","1586","","1637","","1656","","1716","","1793","","1871","","1835","","1881","","1939","","1993","","2044","","2093","","2197","","2282","","2372","","2445","","2574","","2686","","2874","","2957","","2946","","3135","","3276","","3457",""
"8"," Netherlands","36548","","37268","","37507","","37930","","39023","","40290","","41567","","42855","","44009","","46686","","48502","","48157","","48053","","48548","","49093","","49006","","51740","","53134","","52566","","51337","","52431","","53577","","52992","","52583","","52304","","53264","","53300","","55765","","57014","","57707",""
"14"," New Zealand","26183","","24076","","24145","","25209","","26251","","27238","","27465","","28059","","28418","","29423","","30182","","31211","","32121","","32992","","33509","","33953","","34425","","34926","","34259","","34964","","34780","","35477","","36227","","36937","","37668","","38587","","39202","","39332","","40559","","40799",""
"128"," Nicaragua","3012","","2943","","2946","","2819","","2817","","3047","","3242","","3372","","3519","","3708","","3808","","3840","","3840","","3894","","4066","","4226","","4309","","4491","","4582","","4344","","4487","","4710","","4940","","5117","","5308","","5479","","5655","","5845","","5565","","5284",""
"189"," Niger","1085","","1073","","1033","","1016","","997","","987","","966","","946","","1007","","972","","928","","960","","967","","956","","928","","959","","980","","973","","1007","","986","","1028","","1012","","1067","","1079","","1110","","1113","","1131","","1143","","1179","","1201",""
"161"," Nigeria","3109","","3044","","3067","","2884","","2813","","2776","","2826","","2848","","2839","","2836","","2739","","2896","","3230","","3341","","3568","","3675","","4026","","4063","","4238","","4434","","4636","","4759","","4848","","5045","","5311","","5356","","5160","","5032","","4929","","4910",""
"82"," North Macedonia","11202","","10582","","9719","","9060","","8972","","8901","","8959","","9025","","9274","","9579","","9946","","9709","","9787","","9974","","10484","","10837","","11534","","11741","","12826","","12830","","13160","","13410","","13283","","13628","","14178","","14509","","14760","","14914","","15279","","15865",""
"1"," Norway","40544","","41478","","43131","","44035","","46237","","48089","","50273","","52678","","53721","","54543","","55613","","57249","","57875","","58222","","59952","","61665","","62009","","62959","","62366","","61162","","61156","","60902","","61660","","61707","","63555","","64683","","64777","","65732","","66180","","66494",""
"60"," Oman","26522","","26925","","27549","","28307","","27959","","28833","","29078","","30823","","31087","","30943","","32755","","33909","","32583","","31475","","31280","","30748","","29351","","32209","","32794","","33032","","33452","","29716","","30385","","30159","","28541","","29399","","29257","","27885","","26593","","25944",""
"154"," Pakistan","3049","","3050","","3153","","3112","","3125","","3206","","3230","","3155","","3140","","3168","","3208","","3238","","3297","","3489","","3636","","3780","","3908","","4000","","3985","","4033","","4054","","4104","","4182","","4275","","4403","","4534","","4691","","4821","","4992","","5005",""
"50"," Palau","13237","","14330","","13055","","11582","","12051","","13271","","13683","","13439","","13009","","12790","","13393","","13491","","13840","","14017","","14290","","17158","","17060","","17980","","17149","","16159","","16422","","17431","","17725","","17311","","17949","","20027","","20058","","18770","","19029","","19317",""
"115"," Palestine, State of","4267","","3891","","4651","","4908","","4510","","4643","","4453","","4939","","5678","","5988","","5110","","4362","","3664","","4072","","4336","","4768","","4521","","4746","","4911","","5068","","5310","","5848","","6102","","6169","","6140","","6321","","6507","","6545","","6582","","6417",""
"57"," Panama","10409","","10844","","11640","","12295","","12544","","12274","","12584","","12969","","13604","","13689","","14012","","13743","","14245","","14097","","14671","","15164","","16180","","18085","","19499","","19497","","19719","","22139","","23561","","24841","","24975","","26607","","27195","","28614","","29173","","29558",""
"155"," Papua New Guinea","2289","","2463","","2758","","3288","","3962","","3682","","3785","","3464","","3538","","3531","","3368","","3298","","3311","","3397","","3095","","3126","","3035","","3370","","3351","","3500","","3661","","3696","","3793","","3874","","4325","","4512","","4414","","4267","","4152","","4301",""
"103"," Paraguay","8210","","8131","","7979","","8118","","8185","","8358","","8798","","8671","","8477","","8168","","7478","","7370","","7398","","6981","","7312","","7428","","7965","","8675","","9220","","9035","","9905","","10324","","10044","","10777","","11188","","11371","","11668","","12205","","12420","","12224",""
"79"," Peru","4943","","5137","","4990","","5133","","5629","","5913","","6042","","6334","","6261","","6251","","6298","","6293","","6530","","6673","","6814","","7095","","7385","","7971","","8722","","8806","","9317","","9797","","10449","","11113","","11339","","11706","","11900","","11931","","12155","","12252",""
"107"," Philippines","4157","","4081","","4059","","4069","","4198","","4305","","4487","","4690","","4937","","4964","","4896","","4939","","5012","","5154","","5374","","5556","","5720","","5976","","6150","","6268","","6601","","6698","","7055","","7459","","7789","","8144","","8564","","9017","","9414","","9778",""
"35"," Poland","11137","","10124","","10239","","10667","","11567","","12276","","13108","","13942","","14584","","15275","","16168","","16391","","16698","","17203","","17729","","18633","","19718","","20907","","22052","","22437","","23212","","24372","","24801","","25184","","25931","","26926","","27546","","28933","","30460","","31623",""
"38"," Portugal","23523","","24656","","25054","","24533","","24635","","25750","","26503","","27356","","28483","","29418","","29949","","30286","","30409","","30164","","30553","","30715","","30691","","31386","","31300","","30276","","30845","","30851","","29497","","29687","","29869","","30324","","31110","","32309","","33176","","33967",""
"45"," Qatar","61324","","58879","","64491","","62864","","63057","","63765","","63051","","80187","","86362","","86923","","89459","","87709","","89632","","90011","","93493","","83153","","93846","","92835","","91692","","87026","","91652","","95725","","94312","","93902","","93663","","95634","","95517","","94820","","94265","","92418","e"
"49"," Romania","13250","","11676","","10714","","10874","","11327","","12035","","12521","","11939","","11687","","11657","","12025","","12838","","13762","","14001","","15254","","16259","","17578","","19113","","21488","","20684","","20014","","20495","","20908","","21788","","22867","","23705","","24908","","26806","","28021","","29497",""
"52"," Russian Federation","21514","","20351","","17230","","15762","","13868","","13247","","12698","","12808","","11902","","12748","","14229","","15225","","15935","","16978","","18423","","19601","","21148","","23152","","24194","","22270","","23256","","24231","","25131","","25413","","25205","","24847","","24874","","25311","","25962","","26157",""
"160"," Rwanda","933","","935","","1047","","1027","","540","","749","","810","","864","","867","","841","","860","","895","","992","","994","","1053","","1137","","1215","","1281","","1384","","1432","","1497","","1574","","1662","","1690","","1742","","1846","","1904","","1909","","2021","","2155",""
"74"," Saint Kitts and Nevis","15141","","14592","","14871","","15659","","16319","","17214","","17746","","18640","","18031","","18362","","20025","","20741","","20683","","19348","","20206","","22085","","22884","","22928","","24119","","22929","","22727","","22988","","22441","","23531","","24690","","24722","","25218","","24087","","24604","","25038",""
"86"," Saint Lucia","8372","","8262","","8845","","8668","","8750","","8678","","9171","","8984","","9465","","9711","","9594","","8912","","9122","","9318","","9745","","9576","","11049","","11467","","11962","","11774","","11435","","11832","","11408","","12953","","12267","","12921","","13551","","14140","","14438","","14616",""
"97"," Saint Vincent and the Grenadines","6310","","6309","","6750","","6958","","6690","","7245","","7395","","7559","","7898","","8171","","8317","","8545","","9065","","9610","","9932","","10203","","11126","","11623","","11812","","11737","","11363","","11295","","11599","","11858","","11948","","11887","","12078","","12158","","12378","","12378",""
"111"," Samoa","5939","","5698","","5434","","5682","","3701","","3931","","4370","","4380","","4478","","4590","","4881","","5272","","5010","","5244","","5468","","5663","","5654","","5992","","5956","","5916","","6063","","5970","","5703","","5694","","5781","","6237","","6409","","6288","","6127","","6309",""
"135"," Sao Tome and Principe","2495","","2410","","2375","","2342","","2363","","2340","","2381","","2353","","2343","","2427","","2434","","2581","","2590","","2760","","2794","","2940","","3271","","3310","","3182","","3258","","3338","","3403","","3355","","3543","","3713","","3703","","3824","","3904","","3933","","3952",""
"40"," Saudi Arabia","43006","","47015","","47054","","45531","","44037","","43542","","43112","","42726","","43524","","41208","","42183","","40742","","38448","","41424","","43532","","44735","","44807","","44629","","46324","","44059","","44723","","47852","","48932","","48894","","49392","","50125","","49683","","48044","","48094","","47495",""
"168"," Senegal","2239","","2227","","2210","","2155","","2096","","2155","","2171","","2183","","2266","","2341","","2356","","2413","","2364","","2470","","2556","","2633","","2636","","2694","","2736","","2698","","2721","","2669","","2726","","2724","","2817","","2903","","2988","","3114","","3230","","3309",""
"64"," Serbia","17296","","15143","","10772","","7422","","7563","","7975","","8192","","8845","","9138","","8281","","8871","","9502","","10072","","10515","","11465","","12100","","12750","","13530","","14253","","14072","","14155","","14555","","14370","","14751","","14594","","14798","","15231","","15450","","16472","","17192",""
"67"," Seychelles","14269","","14588","","15647","","16229","","15931","","15034","","15701","","17528","","18339","","18224","","18240","","18243","","16551","","16347","","17281","","18504","","20055","","20159","","19318","","18471","","20124","","20837","","22278","","23187","","23471","","24103","","24533","","25224","","25923","","26903",""
"182"," Sierra Leone","1774","","1676","","1461","","1555","","1501","","1452","","1120","","931","","884","","811","","824","","938","","1137","","1192","","1213","","1219","","1234","","1388","","1467","","1495","","1432","","1451","","1712","","1946","","1961","","1534","","1439","","1594","","1614","","1668",""
"11"," Singapore","37076","","38240","","40212","","42760","","47085","","49261","","50097","","53898","","50708","","52998","","55809","","53712","","54531","","57451","","59977","","63139","","68950","","72158","","69061","","66009","","77505","","78783","","79513","","81298","","85083","","83499","","85473","","87736","","88099","","88155","e"
"39"," Slovakia","15225","","12910","","12016","","12090","","12809","","13694","","14615","","15347","","15945","","15806","","16018","","16670","","17349","","17403","","18536","","20049","","21700","","24054","","25672","","24544","","25509","","25839","","26775","","27194","","27816","","28733","","29477","","30267","","31403","","32113",""
"22"," Slovenia","22042","","20069","","18985","","19559","","20646","","21590","","22258","","23323","","24063","","25360","","26249","","27140","","27872","","28633","","29746","","30972","","32544","","34249","","35286","","32638","","33058","","33266","","32259","","31952","","32939","","32904","","34093","","35988","","37423","","38080",""
"151"," Solomon Islands","1956","","1959","","2108","","2093","","2207","","2356","","2327","","2224","","2228","","2141","","1811","","1631","","1526","","1587","","1694","","1854","","1893","","1987","","1832","","1537","","1671","","1714","","2081","","2217","","2224","","2298","","2240","","2225","","2251","","2253",""
"114"," South Africa","9975","","9726","","9313","","9212","","9312","","9387","","9582","","9661","","9537","","9617","","9881","","9941","","10239","","10388","","10807","","11233","","11711","","12010","","12252","","12000","","12195","","12346","","12404","","12523","","12549","","12528","","12357","","12322","","12232","","12129",""
"185"," South Sudan","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","1820","","1772","","1775","","1835","","1005","","1891","","1974","","1818","","1632","","1806","","1856","","2003","c"
"25"," Spain","27327","","27938","","28002","","27721","","27770","","28932","","29484","","30457","","31639","","32940","","34583","","35457","","36000","","36522","","36977","","37515","","38217","","38627","","38229","","36776","","36844","","36305","","35554","","35205","","35908","","37442","","38649","","39566","","40419","","40975",""
"72"," Sri Lanka","3857","","3982","","4134","","4383","","4558","","4740","","4881","","5177","","5368","","5557","","5850","","5723","","5919","","6253","","6535","","6872","","7333","","7796","","8105","","8424","","9041","","9746","","10541","","10749","","11181","","11600","","11961","","12251","","12516","","12707",""
"170"," Sudan","1576","","1540","","1649","","1728","","1741","","1813","","1925","","2093","","2118","","2102","","2158","","2249","","2333","","2428","","2433","","2551","","2547","","2892","","2935","","3042","","2985","","3418","","3851","","3886","","4020","","4116","","4206","","4204","","3876","","3829",""
"97"," Suriname","12347","","12774","","11969","","10092","","11557","","11328","","11474","","11709","","12020","","11538","","11604","","10979","","12276","","12907","","13792","","14383","","14997","","15944","","16466","","16692","","16908","","17046","","17695","","18263","","18339","","17719","","15663","","14336","","14571","","14324",""
"7"," Sweden","33934","","33007","","31876","","30804","","32472","","33619","","34159","","35221","","37082","","39334","","41236","","41728","","42596","","44027","","45248","","46719","","49214","","50736","","50335","","47236","","49800","","50666","","50116","","50261","","51020","","52075","","52374","","53591","","54020","","54508",""
"2"," Switzerland","58955","","57893","","57076","","56630","","56307","","56592","","56697","","58759","","60551","","61825","","64638","","63528","","62471","","64446","","65512","","68351","","69795","","67318","","63169","","66544","","70348","","67500","","68040","","68353","","68060","","69427","","68567","","67888","","69243","","69394",""
"151"," Syrian Arab Republic","2998","","3227","","3392","","3590","","4096","","4318","","4757","","4888","","4853","","5214","","5720","","5887","","5774","","6031","","6654","","7449","","8127","","9002","","10438","","10148","","10865","","12103","","8038","","5110","","3147","","2526","","2093","","3833","","3508","","3613","f"
"125"," Tajikistan","5388","","4948","","3428","","2783","","2120","","1806","","1429","","1505","","1562","","1592","","1653","","1759","","1857","","2098","","2411","","2497","","2759","","2840","","3272","","2864","","3052","","2924","","3200","","3753","","3684","","3643","","3523","","3614","","3784","","3954",""
"163"," Tanzania (United Republic of)","1343","","1332","","1293","","1268","","1252","","1268","","1306","","1313","","1339","","1371","","1396","","1423","","1508","","1555","","1624","","1687","","1780","","1826","","1879","","1924","","1972","","2061","","2099","","2173","","2248","","2310","","2387","","2473","","2531","","2600",""
"79"," Thailand","7018","","7511","","7968","","8596","","9188","","9817","","10190","","9749","","8815","","9205","","9629","","9790","","10227","","10816","","11386","","11771","","12379","","13021","","13150","","13007","","13817","","14127","","14753","","14798","","15079","","15469","","16017","","16640","","17202","","17781",""
"141"," Timor-Leste","2552","","2746","","2963","","3190","","3304","","3604","","3967","","4273","","4165","","2068","","3077","","3396","","3705","","3043","","3296","","3903","","5421","","7202","","10465","","8148","","9697","","11613","","10209","","8863","","7134","","5753","","4529","","4489","","4379","","4440",""
"167"," Togo","1316","","1278","","1206","","1000","","1088","","1166","","1252","","1391","","1318","","1296","","1253","","1229","","1253","","1305","","1255","","1167","","1166","","1127","","1149","","1179","","1216","","1345","","1318","","1369","","1418","","1497","","1505","","1518","","1558","","1602",""
"104"," Tonga","4219","","4446","","4423","","4564","","4961","","5014","","5019","","4966","","5182","","5333","","5367","","5464","","5717","","5752","","5706","","5680","","5690","","5441","","5494","","5602","","5813","","6070","","6190","","6067","","6068","","6104","","6420","","6421","","6366","","6365",""
"67"," Trinidad and Tobago","10445","","10596","","10369","","10249","","10416","","10748","","11490","","12640","","13834","","14884","","15565","","16439","","17812","","20135","","22318","","23162","","26075","","26326","","26452","","26488","","27344","","25329","","26116","","27434","","26871","","28744","","26678","","26503","","26328","","26231",""
"95"," Tunisia","5250","","5276","","5546","","5470","","5554","","5645","","5916","","6186","","6443","","6762","","6944","","7227","","7294","","7663","","8041","","8200","","8634","","9025","","9293","","9549","","9750","","9466","","9790","","9895","","10123","","10189","","10218","","10269","","10422","","10414",""
"54"," Turkey","12514","","12386","","12812","","13586","","12630","","13490","","14287","","15134","","15309","","14517","","15239","","13969","","14738","","15361","","16677","","17999","","19039","","19789","","19708","","18506","","19867","","21738","","22436","","23895","","24713","","25719","","26122","","27571","","27864","","27701",""
"111"," Turkmenistan","7264","","6738","","5567","","5494","","4557","","4019","","4208","","3770","","3900","","4424","","4422","","4757","","4610","","4783","","4958","","5242","","5998","","6582","","7261","","7527","","7901","","8787","","9606","","10475","","11311","","12237","","13209","","13615","","14229","","14909",""
".."," Tuvalu","3462","","3542","","3622","","3731","","4074","","3834","","3612","","3919","","4541","","4452","","4407","","5075","","6002","","4354","","4650","","4435","","4405","","4427","","4740","","4396","","4318","","4246","","4722","","4941","","4638","","5554","","6069","","5583","","5654","","6132",""
"159"," Uganda","890","","909","","898","","956","","985","","1070","","1136","","1166","","1190","","1247","","1230","","1239","","1318","","1360","","1399","","1438","","1550","","1637","","1727","","1796","","1837","","1949","","1949","","1952","","1982","","2022","","2037","","2026","","2062","","2123",""
"74"," Ukraine","16182","","14707","","12939","","10862","","8532","","7538","","6841","","6694","","6579","","6582","","7025","","7842","","8356","","9248","","10460","","10840","","11674","","12762","","13074","","11078","","11608","","12180","","12310","","12336","","12256","","11273","","11707","","12144","","12657","","13216",""
"31"," United Arab Emirates","102433","","96250","","93044","","92505","","96785","","101303","","101490","","103567","","99916","","98569","","104640","","103519","","96737","","97762","","98236","","92443","","88502","","79459","","69815","","59017","","54911","","56153","","57447","","60007","","62500","","65529","","66881","","67668","","67195","","67462",""
"13"," United Kingdom","30456","","30046","","30163","","30811","","32019","","32671","","33418","","34662","","36004","","36877","","38271","","39391","","40362","","41490","","42138","","43311","","43652","","44116","","43454","","41367","","42183","","42635","","42362","","42547","","43330","","43885","","44335","","45427","","45686","","46071",""
"17"," United States","40942","","40328","","41158","","41728","","42821","","43472","","44597","","45973","","47439","","49162","","50663","","50725","","51109","","52170","","53722","","55075","","55975","","56702","","56250","","54315","","55421","","55992","","56790","","57409","","58393","","59559","","60024","","61019","","62667","","63826",""
"55"," Uruguay","9820","","10226","","11016","","11244","","11943","","11719","","12309","","13360","","13870","","13623","","13299","","12761","","11881","","11418","","11967","","13065","","13678","","14546","","15423","","15977","","17079","","17969","","17773","","18924","","19262","","19679","","19844","","20056","","20091","","20064",""
"106"," Uzbekistan","3312","","3219","","2793","","2673","","2481","","2412","","2400","","2464","","2543","","2606","","2614","","2721","","2808","","2901","","3101","","3281","","3403","","3912","","4045","","4292","","4715","","5032","","5341","","5702","","5970","","6186","","6415","","6652","","6894","","7142",""
"140"," Vanuatu","2854","","2703","","2523","","2520","","2494","","2602","","2651","","2683","","2744","","2851","","2853","","2813","","2614","","2621","","2648","","2678","","2895","","2954","","3217","","3144","","3138","","3110","","3047","","3048","","3062","","2969","","3032","","3083","","3091","","3105",""
"113"," Venezuela (Bolivarian Republic of)","16529","","17805","","18129","","17788","","16936","","17365","","16990","","17068","","16811","","15704","","16028","","16190","","14297","","13001","","15040","","16586","","18116","","19727","","20306","","19181","","18544","","18770","","19482","","19360","","18833","","17214","","14528","","12436","","10380","","7045","g"
"117"," Viet Nam","1579","","1656","","1798","","1898","","2055","","2242","","2404","","2558","","2671","","2778","","3144","","3309","","3483","","3680","","3941","","3885","","4104","","4328","","4520","","4274","","4921","","5147","","5370","","5587","","5828","","6130","","6504","","6617","","7051","","7433",""
"179"," Yemen","2958","","2788","","2762","","2750","","2682","","2916","","3232","","3325","","3505","","3426","","3612","","3755","","3809","","3875","","3893","","3980","","4180","","4210","","4213","","4363","","4304","","3493","","3600","","3607","","3137","","2195","","1846","","1620","","1564","","1594","f"
"146"," Zambia","2016","","1866","","1819","","1941","","1756","","1764","","1837","","1854","","1787","","1849","","1879","","1934","","1979","","2077","","2089","","2155","","2226","","2301","","2499","","2800","","2872","","2873","","3334","","3390","","3263","","3404","","3238","","3331","","3366","","3326",""
"150"," Zimbabwe","1866","","1923","","1738","","1749","","1813","","1782","","1964","","1948","","1909","","1869","","1717","","1759","","1658","","1520","","1453","","1384","","1327","","1291","","1097","","1670","","2016","","2222","","2576","","2674","","2697","","2658","","2681","","2759","","2942","","2666",""
"","Human Development","","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Very high human development","28619","","28492","","28422","","28426","","28796","","29376","","30039","","30904","","31415","","32230","","33503","","33856","","34194","","34982","","36169","","37198","","38379","","39433","","39486","","37901","","38962","","39797","","40192","","40665","","41222","","41920","","42356","","43243","","44040","","44566",""
" ","High human development","4521","","4644","","4726","","4846","","4995","","5128","","5333","","5542","","5560","","5668","","5950","","6142","","6382","","6692","","7115","","7518","","8094","","8779","","9283","","9500","","10138","","10533","","11123","","11485","","11966","","12314","","12777","","13317","","13804","","14255",""
" ","Medium human development","2112","","2035","","2059","","2110","","2175","","2265","","2389","","2442","","2544","","2677","","2727","","2806","","2857","","2962","","3163","","3340","","3534","","3742","","3841","","4018","","4224","","4390","","4518","","4692","","4899","","5167","","5424","","5718","","5954","","6153",""
" ","Low human development","1905","","1839","","1795","","1718","","1656","","1689","","1728","","1759","","1767","","1761","","1739","","1783","","1871","","1911","","1986","","2044","","2157","","2226","","2280","","2357","","2424","","2473","","2543","","2631","","2724","","2736","","2717","","2720","","2712","","2745",""
" ","Developing Countries","4037","","4073","","4129","","4208","","4288","","4398","","4567","","4726","","4767","","4832","","5012","","5107","","5234","","5469","","5799","","6106","","6525","","6975","","7261","","7371","","7802","","8111","","8464","","8734","","9054","","9331","","9619","","10037","","10326","","10583",""
"","Regions","","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
