"Gross national income (GNI) per capita (constant 2017 PPP$)"
"Dimension: Income/composition of resources"
"SDG 8.5 By 2030, achieve full and productive employment and decent work for all women and men,including for young people and persons with disabilities, and equal pay for work of equal value"
"Definition: Aggregate income of an economy generated by its production and its ownership of factors of production, less the incomes paid for the use of factors of production owned by the rest of the world, converted to international dollars using PPP rates, divided by midyear population."
"Source: World Bank (2020a), IMF (2020) and United Nations Statistics Division (2020b)"
""
"HDI Rank","Country","1990","","1991","","1992","","1993","","1994","","1995","","1996","","1997","","1998","","1999","","2000","","2001","","2002","","2003","","2004","","2005","","2006","","2007","","2008","","2009","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018","","2019",""
"73"," Bosnia and Herzegovina","1775","","1644","","1587","","1612","","1856","","2309","","3830","","5374","","7999","","8438","","8491","","8573","","8864","","9092","","9539","","9871","","10293","","10906","","11591","","11314","","11252","","11398","","11492","","12032","","12322","","12882","","13383","","13739","","14378","","14872",""
"100"," Botswana","8866","","9637","","9737","","10047","","9108","","9916","","9789","","10610","","10960","","10962","","10781","","11024","","10359","","11063","","11006","","11498","","12295","","13180","","13759","","13002","","13489","","14496","","15084","","16120","","16818","","16237","","15623","","15981","","16311","","16437",""
"84"," Brazil","10251","","10258","","10071","","10312","","10541","","11084","","11016","","11157","","10886","","10694","","11276","","11237","","11412","","11420","","11959","","12208","","12602","","13280","","13774","","13649","","14409","","14921","","15083","","15579","","15450","","14775","","14139","","14248","","14182","","14263",""
"47"," Brunei Darussalam","71469","","71643","","72947","","71146","","71414","","72688","","72937","","70174","","68211","","68771","","69254","","69717","","71007","","71722","","70853","","70021","","72083","","71648","","69405","","67383","","67479","","67387","","67319","","66079","","64340","","66410","","65043","","64619","","60975","","63965",""
"56"," Bulgaria","11189","","10197","","10322","","10245","","10449","","10717","","11238","","9738","","10331","","9571","","9977","","10819","","11917","","12580","","13439","","14391","","15088","","15424","","16908","","16679","","17073","","17390","","17886","","17887","","18577","","18997","","19858","","20853","","22406","","23325",""
"182"," Burkina Faso","1021","","1083","","1056","","1061","","1045","","1078","","1172","","1208","","1260","","1307","","1293","","1338","","1360","","1421","","1445","","1522","","1581","","1598","","1640","","1624","","1679","","1718","","1807","","1853","","1840","","1852","","1859","","1977","","2069","","2133",""
"185"," Burundi","1124","","1169","","1162","","1061","","1009","","924","","832","","829","","863","","839","","841","","815","","827","","788","","795","","786","","810","","813","","826","","824","","842","","846","","860","","878","","884","","825","","795","","772","","763","","754",""
"126"," Cabo Verde","2848","","2808","","2816","","2932","","3040","","3170","","3292","","3472","","3676","","4017","","4183","","4432","","4530","","4697","","4817","","4983","","5383","","5895","","6177","","6029","","5928","","6120","","6087","","6106","","5971","","6035","","6251","","6414","","6703","","7019",""
"144"," Cambodia","1008","","1041","","1080","","1096","","1105","","1171","","1194","","1223","","1240","","1350","","1445","","1527","","1583","","1699","","1840","","2039","","2226","","2435","","2542","","2498","","2602","","2736","","2869","","3062","","3196","","3332","","3507","","3684","","3876","","4246",""
"153"," Cameroon","3101","","2835","","2701","","2420","","2389","","2400","","2437","","2494","","2571","","2618","","2589","","2610","","2674","","2789","","2935","","2902","","2964","","2996","","3037","","3055","","3056","","3095","","3132","","3200","","3335","","3410","","3465","","3487","","3526","","3581",""
"16"," Canada","30822","","29903","","29733","","30257","","31212","","31759","","31973","","33096","","33650","","34680","","36323","","36358","","37330","","38437","","39696","","41342","","42852","","45438","","45393","","43472","","44190","","45169","","45527","","46217","","47026","","47042","","47128","","48069","","48292","","48527",""
"188"," Central African Republic","1313","","1300","","1249","","1204","","1218","","1254","","1127","","1171","","1192","","1247","","1235","","1223","","1188","","1089","","1087","","1098","","1127","","1147","","1154","","1169","","1218","","1259","","1318","","839","","838","","870","","903","","959","","981","","993",""
"187"," Chad","989","","1051","","1104","","868","","951","","935","","921","","936","","978","","936","","882","","948","","969","","881","","1287","","1366","","1240","","1347","","1303","","1506","","1669","","1628","","1716","","1714","","1778","","1804","","1656","","1566","","1553","","1555",""
"43"," Chile","9130","","9692","","10689","","11279","","11546","","12444","","13170","","13976","","14500","","14185","","14679","","15023","","15250","","15389","","15940","","16552","","16585","","17399","","18659","","18342","","19074","","20264","","21468","","22056","","22501","","22949","","23003","","22685","","23222","","23261",""
"85"," China","1469","","1581","","1778","","1981","","2198","","2361","","2571","","2787","","2965","","3172","","3417","","3667","","3989","","4377","","4806","","5299","","5969","","6810","","7458","","8056","","8847","","9597","","10373","","11060","","11932","","12644","","13434","","14333","","15187","","16057",""
"83"," Colombia","8013","","8058","","8257","","8612","","9031","","9337","","9323","","9471","","9412","","8881","","8947","","8931","","8997","","9148","","9491","","9910","","10427","","10946","","11114","","11160","","11461","","12050","","12469","","13032","","13564","","14038","","14186","","14055","","14085","","14257",""
"156"," Comoros","3055","","2808","","2988","","2977","","2733","","2757","","2643","","2676","","2636","","2622","","2835","","2833","","2820","","2809","","2793","","2807","","2815","","2781","","2813","","2836","","2875","","2921","","2940","","3005","","2999","","2971","","3004","","3049","","3085","","3099",""
"149"," Congo","3019","","3062","","3186","","2868","","2781","","2021","","2033","","2265","","2616","","2038","","1801","","2020","","2048","","1990","","1825","","1503","","1351","","1582","","1826","","2055","","2046","","2009","","2396","","2580","","3002","","3855","","3417","","3126","","2964","","2879",""
"175"," Congo (Democratic Republic of the)","1695","","1495","","1283","","1098","","954","","911","","949","","869","","840","","758","","740","","683","","695","","717","","738","","749","","771","","787","","787","","803","","830","","848","","870","","875","","932","","980","","1039","","1030","","1056","","1063",""
"62"," Costa Rica","9115","","9278","","9896","","10344","","10681","","10802","","10725","","11048","","11424","","11415","","11507","","11697","","11893","","12217","","12624","","12998","","13870","","14854","","15447","","14887","","15426","","15876","","16481","","16567","","16863","","17238","","17783","","18161","","18371","","18486",""
