dateb	value
06-89	0,52
05-89	0,51
04-89	0,48
03-89	0,42
02-89	0,35
01-89	0,34
12-88	0,33
11-88	0,31
10-88	0,30
09-88	0,29
08-88	0,28
07-88	0,28
06-88	0,26
05-88	0,25
04-88	0,25
03-88	0,25
02-88	0,20
01-88	0,24
12-87	0,24
11-87	0,24
10-87	0,23
09-87	0,22
08-87	0,22
07-87	0,22
06-87	0,21
05-87	0,20
04-87	0,19
03-87	0,19
02-87	0,18
01-87	0,18
12-86	0,17
11-86	0,17
10-86	0,17
09-86	0,17
08-86	0,17
07-86	0,16
06-86	0,16
05-86	0,16
04-86	0,16
03-86	0,16
02-86	0,16
01-86	0,16
12-85	0,15
11-85	0,15
10-85	0,15
09-85	0,15
08-85	0,15
07-85	0,15
06-85	0,15
05-85	0,15
04-85	0,15
03-85	0,14
02-85	0,14
01-85	0,14
12-84	0,14
11-84	0,14
10-84	0,14
09-84	0,14
08-84	0,13
07-84	0,13
06-84	0,13
05-84	0,13
04-84	0,13
03-84	0,12
02-84	0,12
01-84	0,12
12-83	0,12
11-83	0,12
10-83	0,12
09-83	0,12
08-83	0,12
07-83	0,12
06-83	0,12
05-83	0,12
04-83	0,12
03-83	0,12
02-83	0,11
01-83	0,11
12-82	0,11
11-82	0,11
10-82	0,11
09-82	0,11
08-82	0,11
07-82	0,11
06-82	0,11
05-82	0,11
04-82	0,11
03-82	0,11
02-82	0,11
01-82	0,11
12-81	0,11
11-81	0,11
10-81	0,10
09-81	0,10
08-81	0,10
07-81	0,10
06-81	0,10
05-81	0,10
04-81	0,10
03-81	0,10
02-81	0,10
01-81	0,10
12-80	0,10
11-80	0,09
10-80	0,09
09-80	0,09
08-80	0,09
07-80	0,09
06-80	0,09
05-80	0,09
04-80	0,08
03-80	0,08
02-80	0,08
01-80	0,08
