		1996	1996	1996	1996	1996	1996	1998	1998	1998	1998	1998	1998	2000	2000	2000	2000	2000	2000	2002	2002	2002	2002	2002	2002	2003	2003	2003	2003	2003	2003	2004	2004	2004	2004	2004	2004	2005	2005	2005	2005	2005	2005	2006	2006	2006	2006	2006	2006	2007	2007	2007	2007	2007	2007	2008	2008	2008	2008	2008	2008	2009	2009	2009	2009	2009	2009	2010	2010	2010	2010	2010	2010	2011	2011	2011	2011	2011	2011	2012	2012	2012	2012	2012	2012	2013	2013	2013	2013	2013	2013	2014	2014	2014	2014	2014	2014	2015	2015	2015	2015	2015	2015	2016	2016	2016	2016	2016	2016	2017	2017	2017	2017	2017	2017	2018	2018	2018	2018	2018	2018	2019	2019	2019	2019	2019	2019
Country/Territory	Code	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper
Burkina Faso	BFA	-0.93	0.30	5.00	20.60	7.04	38.19	-0.75	0.26	7.00	26.00	12.00	41.00	-0.62	0.23	8.00	30.69	18.81	43.07	-0.65	0.22	9.00	31.19	16.83	45.05	-0.54	0.22	9.00	33.66	18.32	47.03	-0.57	0.20	11.00	35.41	18.18	44.50	-0.52	0.20	11.00	36.84	22.97	45.45	-0.43	0.15	15.00	42.11	29.67	49.76	-0.40	0.15	15.00	42.11	31.10	49.28	-0.34	0.14	16.00	44.23	35.10	51.44	-0.21	0.14	16.00	48.82	40.76	54.98	-0.19	0.14	16.00	49.29	40.28	54.98	-0.36	0.13	17.00	44.60	32.39	50.23	-0.44	0.13	18.00	42.25	31.92	47.42	-0.53	0.13	18.00	37.56	27.70	45.54	-0.55	0.14	16.00	33.17	23.56	43.27	-0.52	0.14	15.00	34.62	25.00	45.67	-0.44	0.16	14.00	35.10	26.92	47.12	-0.40	0.15	14.00	39.42	29.33	49.04	-0.45	0.14	14.00	34.62	26.44	47.12	-0.43	0.14	15.00	37.50	27.40	46.63
Bangladesh	BGD	-0.93	0.21	6.00	20.10	10.05	32.16	-0.89	0.22	7.00	21.00	9.50	32.50	-0.91	0.16	10.00	22.28	12.38	29.70	-0.90	0.18	11.00	21.29	10.40	33.17	-1.05	0.18	11.00	15.84	7.43	26.24	-1.02	0.16	13.00	15.79	8.13	26.32	-0.98	0.16	13.00	17.70	10.05	28.71	-0.90	0.15	15.00	20.57	11.48	30.14	-0.83	0.15	16.00	22.97	12.92	34.93	-0.75	0.15	16.00	25.00	16.35	36.54	-0.79	0.14	16.00	24.17	15.64	36.02	-0.80	0.14	16.00	25.59	14.69	33.65	-0.73	0.13	17.00	27.70	17.37	36.15	-0.93	0.14	17.00	18.31	9.86	29.11	-0.87	0.14	16.00	21.13	13.15	32.86	-0.78	0.15	14.00	23.56	13.46	33.17	-0.75	0.15	14.00	25.96	13.94	35.58	-0.66	0.17	13.00	27.88	17.31	37.50	-0.67	0.16	13.00	28.37	16.83	36.06	-0.64	0.15	13.00	27.88	17.79	38.46	-0.64	0.15	13.00	27.88	19.23	39.90
Bulgaria	BGR	-0.34	0.19	7.00	39.70	29.15	49.25	-0.21	0.20	8.00	45.00	32.50	55.50	-0.12	0.16	11.00	48.51	40.10	55.94	-0.03	0.16	12.00	51.98	44.55	59.41	-0.14	0.17	12.00	48.51	40.59	58.91	-0.11	0.15	12.00	49.28	41.63	58.37	-0.10	0.16	12.00	50.24	41.63	58.37	-0.09	0.14	16.00	51.20	44.98	57.42	-0.05	0.14	16.00	53.11	46.89	58.85	-0.11	0.13	16.00	52.40	45.19	58.17	-0.04	0.13	16.00	54.50	46.92	60.19	-0.07	0.13	16.00	53.08	46.45	58.77	-0.11	0.12	17.00	52.11	46.01	57.75	-0.09	0.12	17.00	52.11	46.48	58.22	-0.10	0.12	16.00	52.11	45.54	56.34	-0.05	0.13	15.00	56.73	46.15	63.46	-0.10	0.13	15.00	54.33	44.71	59.62	-0.06	0.15	13.00	52.40	42.79	59.13	-0.04	0.14	13.00	51.92	44.23	59.62	-0.03	0.13	13.00	53.37	44.71	59.13	0.04	0.14	13.00	54.81	47.12	61.06
Bahrain	BHR	-0.01	0.22	5.00	50.75	39.20	62.31	0.38	0.23	5.00	65.00	51.50	74.00	0.30	0.19	6.00	61.88	50.99	69.80	0.57	0.19	8.00	68.32	59.90	77.72	0.62	0.21	8.00	71.29	61.88	79.70	0.71	0.18	9.00	71.29	62.68	83.25	0.61	0.18	9.00	67.46	59.33	80.38	0.38	0.18	9.00	61.72	55.98	68.90	0.53	0.18	9.00	66.51	58.85	74.64	0.53	0.18	9.00	65.87	59.13	74.52	0.52	0.16	11.00	64.45	61.61	71.56	0.44	0.16	11.00	63.51	60.66	68.72	0.35	0.15	11.00	62.44	58.22	67.14	0.26	0.16	11.00	61.50	55.40	65.73	0.33	0.16	11.00	61.97	55.40	68.08	0.41	0.18	9.00	68.27	61.54	75.48	0.43	0.18	9.00	67.31	60.10	75.00	0.46	0.20	8.00	67.31	58.65	76.44	0.45	0.19	7.00	67.31	59.13	76.44	0.41	0.18	7.00	65.87	57.69	75.00	0.49	0.18	8.00	68.75	60.58	77.40
Bahamas. The	BHS	1.15	0.32	4.00	85.93	67.84	94.97	1.30	0.31	4.00	89.00	74.50	96.50	1.32	0.27	4.00	87.62	79.21	95.05	1.43	0.29	4.00	90.10	79.21	98.02	1.45	0.27	4.00	90.10	82.18	97.03	1.40	0.27	4.00	90.43	81.34	95.69	1.38	0.27	4.00	89.95	80.38	96.17	1.09	0.27	4.00	86.12	67.94	90.43	1.27	0.27	4.00	87.56	74.16	92.82	1.20	0.26	5.00	86.06	72.60	91.35	0.80	0.19	6.00	72.99	63.98	83.89	0.72	0.19	6.00	70.14	62.56	82.46	0.62	0.18	6.00	68.08	61.97	77.93	0.62	0.19	6.00	68.54	61.97	77.46	0.64	0.19	6.00	69.95	61.50	78.87	0.67	0.21	6.00	75.48	65.87	81.25	0.60	0.19	7.00	72.60	64.90	79.33	0.26	0.21	5.00	60.58	51.44	72.60	0.19	0.20	5.00	60.10	50.48	68.75	0.10	0.18	5.00	57.21	47.60	65.38	0.08	0.19	5.00	56.73	46.63	64.90
Bosnia and Herzegovina	BIH	-0.24	0.24	3.00	43.22	31.16	56.78	-0.64	0.21	6.00	30.50	18.50	41.50	-0.61	0.17	8.00	31.19	22.77	42.08	-0.66	0.17	10.00	30.69	17.82	41.09	-0.63	0.18	10.00	30.69	17.82	43.07	-0.50	0.15	12.00	37.32	26.32	44.02	-0.52	0.16	12.00	37.32	27.27	44.98	-0.50	0.16	13.00	39.23	25.84	47.37	-0.47	0.15	14.00	38.76	27.27	48.33	-0.41	0.15	14.00	40.87	31.25	50.48	-0.36	0.14	14.00	45.02	34.12	50.71	-0.35	0.14	14.00	44.08	33.65	50.71	-0.33	0.14	13.00	45.07	33.33	52.11	-0.21	0.13	16.00	49.30	42.72	55.40	-0.15	0.13	15.00	51.17	43.66	54.93	-0.19	0.14	13.00	49.04	38.94	59.62	-0.28	0.14	14.00	46.15	36.06	55.29	-0.22	0.16	12.00	46.15	34.13	55.29	-0.21	0.15	12.00	47.12	33.65	53.85	-0.23	0.14	12.00	46.15	34.13	53.85	-0.23	0.14	12.00	46.63	34.62	53.85
Belarus	BLR	-0.80	0.26	5.00	24.12	12.06	39.20	-0.93	0.24	7.00	19.00	7.50	32.50	-1.13	0.21	9.00	13.86	2.48	26.24	-1.34	0.20	10.00	7.43	1.98	16.83	-1.19	0.20	10.00	11.39	3.96	21.29	-1.26	0.19	10.00	9.57	3.83	17.22	-1.23	0.20	10.00	11.00	3.83	21.05	-1.33	0.17	12.00	8.13	2.39	13.88	-1.21	0.16	12.00	11.00	4.31	19.14	-1.06	0.15	13.00	13.94	7.21	23.56	-1.03	0.14	13.00	15.64	8.53	22.75	-1.07	0.14	13.00	14.22	7.58	23.22	-1.11	0.14	12.00	14.08	6.57	21.60	-0.94	0.13	14.00	17.37	9.86	28.64	-0.90	0.13	14.00	20.19	11.74	30.99	-0.84	0.14	13.00	20.67	11.54	31.73	-0.81	0.14	13.00	22.60	13.46	31.73	-0.72	0.16	11.00	26.44	16.35	34.13	-0.82	0.15	11.00	21.63	12.50	31.25	-0.83	0.14	11.00	19.23	12.98	29.33	-0.79	0.14	11.00	21.63	14.42	30.77
Belize	BLZ	0.08	0.35	3.00	54.77	36.18	68.34	-0.04	0.30	4.00	49.50	32.50	67.50	0.13	0.26	4.00	55.45	42.08	66.83	-0.09	0.27	5.00	50.50	35.64	63.37	0.10	0.25	5.00	55.94	44.06	65.84	-0.19	0.23	6.00	46.41	33.97	59.33	-0.16	0.24	6.00	46.41	34.45	58.37	-0.04	0.20	7.00	53.11	44.02	59.81	-0.11	0.19	8.00	52.15	41.63	58.85	-0.21	0.17	9.00	49.04	37.02	56.25	-0.37	0.17	9.00	44.08	31.28	53.55	-0.34	0.17	9.00	44.55	31.75	53.08	-0.49	0.16	10.00	38.97	26.29	48.36	-0.46	0.17	9.00	41.31	28.64	49.77	-0.47	0.17	9.00	40.85	27.70	48.83	-0.75	0.18	8.00	25.96	13.46	37.50	-0.72	0.17	9.00	27.88	13.94	38.46	-0.86	0.19	7.00	18.27	9.62	31.73	-0.96	0.20	5.00	15.87	8.65	29.33	-0.82	0.19	5.00	20.19	9.62	32.69	-0.78	0.17	6.00	22.12	12.98	32.69
Bermuda	BMU	1.21	0.43	1.00	87.44	63.32	98.99	1.25	0.40	1.00	86.00	69.50	98.50	1.26	0.33	1.00	85.64	72.77	95.54	1.24	0.39	1.00	85.15	68.81	96.04	1.26	0.36	1.00	86.14	71.78	95.05	1.11	0.35	1.00	84.69	66.51	94.26	0.86	0.37	1.00	78.47	58.85	90.91	0.82	0.41	1.00	73.21	57.42	90.43	0.84	0.38	1.00	77.03	58.85	89.95	0.86	0.36	1.00	77.88	59.13	89.90	0.86	0.40	1.00	77.25	60.66	91.00	1.12	0.41	1.00	84.83	63.51	95.73	1.10	0.41	1.00	84.98	62.44	96.24	1.10	0.40	1.00	85.45	63.85	94.84	1.11	0.39	1.00	85.45	64.32	94.84	0.02	0.52	1.00	59.13	20.67	77.88	0.88	0.50	1.00	78.85	58.65	92.31	0.87	0.51	1.00	79.81	54.81	92.79	0.87	0.48	1.00	79.33	56.25	91.83	0.88	0.48	1.00	78.85	56.73	91.83	0.85	0.50	1.00	78.85	54.33	92.31
Bolivia	BOL	-0.26	0.21	7.00	42.71	32.16	54.27	-0.22	0.21	8.00	44.50	31.50	55.50	-0.39	0.16	9.00	39.60	29.70	48.51	-0.40	0.18	11.00	40.59	28.71	50.00	-0.45	0.18	11.00	40.10	26.24	47.03	-0.68	0.16	14.00	30.14	17.22	39.23	-0.76	0.16	14.00	27.75	16.27	37.80	-0.85	0.15	16.00	23.92	11.96	33.01	-0.83	0.15	16.00	22.49	12.92	34.45	-0.97	0.14	16.00	17.31	9.62	25.48	-1.11	0.14	16.00	14.22	4.74	20.85	-1.02	0.14	17.00	15.17	9.00	26.07	-0.98	0.13	18.00	16.90	11.74	26.29	-1.02	0.14	18.00	15.96	8.92	24.41	-1.05	0.14	17.00	15.02	7.98	22.54	-1.06	0.15	15.00	12.98	7.21	20.67	-1.14	0.15	15.00	10.58	5.77	17.79	-1.20	0.16	14.00	9.62	6.73	17.31	-1.21	0.16	13.00	9.62	6.25	16.35	-1.15	0.15	13.00	9.62	6.73	17.79	-1.12	0.15	14.00	11.06	6.73	19.23
Brazil	BRA	-0.22	0.19	9.00	44.22	33.67	55.28	-0.19	0.19	10.00	46.50	35.00	55.50	-0.21	0.16	11.00	44.06	37.62	53.47	-0.23	0.17	12.00	47.03	36.63	55.45	-0.32	0.17	12.00	44.06	31.19	51.49	-0.36	0.16	13.00	41.63	33.01	49.76	-0.43	0.16	13.00	39.23	30.14	45.45	-0.37	0.14	17.00	44.02	33.01	50.24	-0.37	0.14	17.00	43.54	32.06	50.72	-0.32	0.14	17.00	46.15	36.06	52.40	-0.16	0.13	18.00	50.71	43.13	56.40	0.04	0.13	18.00	55.92	49.76	62.09	0.04	0.13	19.00	56.34	49.30	61.50	-0.07	0.13	18.00	53.05	46.01	59.62	-0.08	0.13	18.00	52.58	45.54	57.75	-0.05	0.14	16.00	56.25	45.19	64.42	-0.15	0.14	16.00	51.44	41.83	58.65	-0.16	0.15	15.00	49.04	36.54	56.73	-0.28	0.16	14.00	43.27	32.69	52.40	-0.25	0.14	15.00	44.71	33.17	53.37	-0.18	0.14	15.00	47.60	38.46	55.29
Barbados	BRB	1.05	0.32	4.00	82.41	63.82	92.96	1.27	0.30	4.00	87.50	74.50	94.50	1.42	0.26	4.00	90.10	81.19	98.51	1.52	0.28	4.00	92.08	82.67	100.00	1.56	0.27	4.00	91.09	84.16	100.00	1.44	0.26	5.00	91.39	83.25	97.13	1.35	0.27	5.00	89.47	80.38	95.69	1.24	0.23	6.00	89.00	75.12	92.82	1.33	0.24	6.00	88.52	81.34	92.82	1.31	0.24	6.00	87.98	80.77	92.79	1.01	0.18	7.00	82.46	69.67	88.15	1.08	0.18	7.00	83.41	72.51	88.63	1.08	0.17	7.00	83.57	74.18	88.73	1.03	0.18	7.00	81.69	71.83	86.85	1.05	0.18	7.00	83.10	72.77	87.32	1.08	0.20	7.00	83.17	76.44	86.54	1.10	0.19	7.00	82.21	75.96	87.98	0.80	0.21	6.00	77.40	67.31	85.10	0.66	0.20	5.00	75.48	62.98	80.29	0.39	0.19	5.00	65.38	56.73	75.00	0.36	0.18	6.00	63.94	55.29	74.52
Brunei Darussalam	BRN	0.82	0.35	3.00	77.39	59.30	89.95	0.56	0.34	3.00	69.00	52.00	84.00	0.54	0.30	3.00	66.83	53.47	82.67	0.50	0.33	4.00	66.83	51.49	82.18	0.59	0.32	3.00	68.81	53.96	84.16	0.38	0.31	3.00	62.68	47.85	77.03	0.24	0.32	3.00	58.85	44.50	71.29	0.12	0.33	3.00	57.42	42.11	68.90	0.41	0.33	3.00	62.20	51.20	81.34	0.47	0.26	5.00	65.38	54.33	79.33	0.79	0.20	6.00	72.04	63.51	83.89	0.78	0.21	6.00	72.51	63.51	83.41	0.85	0.19	6.00	76.53	65.73	84.98	0.79	0.20	6.00	73.24	64.79	85.45	0.59	0.18	7.00	68.08	61.03	77.00	0.47	0.21	5.00	69.23	61.54	76.92	0.41	0.21	5.00	66.83	58.65	75.48	0.56	0.21	6.00	71.63	59.13	79.81	0.65	0.19	6.00	74.52	63.46	80.29	0.63	0.18	6.00	74.52	63.94	78.85	0.61	0.18	6.00	74.04	62.50	78.85
Bhutan	BTN	-0.03	0.35	3.00	49.75	32.16	64.82	0.16	0.31	4.00	56.00	41.00	71.50	0.13	0.26	5.00	55.94	42.08	67.33	0.06	0.28	5.00	55.94	40.59	66.83	0.21	0.27	5.00	60.40	45.54	71.29	0.34	0.24	7.00	60.77	50.72	72.25	0.31	0.23	8.00	59.33	50.72	70.33	0.19	0.25	8.00	58.85	49.28	66.99	0.34	0.25	8.00	60.29	52.63	71.77	0.38	0.20	9.00	62.02	54.33	71.15	0.21	0.17	10.00	61.14	53.55	63.98	0.16	0.16	10.00	60.66	51.66	62.56	0.20	0.16	10.00	60.56	53.05	62.91	0.24	0.16	11.00	60.09	53.99	65.26	0.29	0.15	13.00	60.56	54.46	66.20	0.38	0.17	11.00	67.79	61.54	75.00	0.52	0.17	11.00	70.19	63.46	76.44	0.49	0.19	10.00	68.75	59.13	77.88	0.63	0.18	9.00	74.04	62.98	79.81	0.55	0.18	7.00	71.15	62.02	77.88	0.59	0.18	7.00	72.60	61.54	78.85
South Sudan	SSD	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	-1.38	0.25	5.00	6.10	0.47	16.90	-1.43	0.21	8.00	4.23	0.00	13.62	-1.51	0.20	9.00	3.29	0.00	10.80	-1.82	0.19	9.00	0.96	0.00	2.40	-1.86	0.20	10.00	0.96	0.00	2.88	-1.93	0.21	10.00	1.44	0.00	4.81	-1.94	0.20	10.00	1.44	0.00	4.33	-1.96	0.21	10.00	1.44	0.48	4.81	-1.97	0.21	10.00	1.44	0.48	4.81
Botswana	BWA	0.58	0.21	6.00	66.83	59.30	79.90	0.68	0.21	8.00	72.50	63.00	82.50	0.59	0.18	8.00	69.80	61.88	79.70	0.57	0.17	11.00	68.81	59.90	75.25	0.73	0.18	11.00	73.76	64.85	82.18	0.65	0.16	12.00	70.33	62.68	77.99	0.64	0.15	12.00	69.38	60.77	79.90	0.62	0.15	14.00	67.46	61.72	75.12	0.65	0.15	14.00	71.29	61.24	77.99	0.70	0.14	15.00	71.15	64.42	81.25	0.67	0.14	15.00	68.72	63.03	77.73	0.67	0.14	15.00	68.25	63.51	78.67	0.67	0.13	15.00	69.01	62.44	77.00	0.66	0.13	16.00	70.42	63.85	76.06	0.60	0.13	17.00	68.54	62.44	73.24	0.63	0.14	15.00	74.04	67.79	77.40	0.60	0.14	16.00	72.12	65.38	77.40	0.53	0.16	14.00	71.15	60.58	77.40	0.52	0.15	14.00	69.23	61.06	76.44	0.47	0.14	14.00	68.75	60.58	75.00	0.50	0.15	14.00	69.23	61.06	75.96
Central African Republic	CAF	-1.15	0.35	3.00	15.58	1.51	32.66	-1.18	0.29	5.00	12.00	3.00	27.50	-1.28	0.26	5.00	9.90	1.49	25.74	-1.05	0.23	7.00	16.34	5.45	29.21	-1.44	0.23	7.00	4.95	0.00	15.35	-1.58	0.21	8.00	3.83	0.00	10.53	-1.45	0.21	9.00	6.70	0.48	13.88	-1.54	0.20	9.00	3.35	0.00	10.53	-1.57	0.20	10.00	3.35	0.00	9.57	-1.41	0.20	9.00	5.77	1.44	12.98	-1.31	0.15	12.00	7.58	2.37	14.69	-1.29	0.15	12.00	8.06	2.84	14.22	-1.29	0.14	12.00	7.51	1.88	14.55	-1.44	0.15	12.00	3.76	0.47	9.39	-1.79	0.14	13.00	0.94	0.00	2.82	-1.70	0.15	12.00	1.44	0.00	3.85	-1.68	0.15	11.00	1.44	0.48	4.33	-1.82	0.17	11.00	2.40	0.48	4.81	-1.73	0.16	11.00	2.88	0.96	6.25	-1.69	0.16	11.00	3.85	1.44	6.25	-1.73	0.16	11.00	3.37	0.96	5.29
Canada	CAN	1.65	0.19	8.00	94.97	88.94	100.00	1.76	0.20	8.00	94.50	91.00	100.00	1.69	0.16	9.00	94.06	90.10	99.01	1.69	0.18	9.00	94.55	89.11	100.00	1.73	0.18	9.00	94.55	89.60	100.00	1.71	0.17	9.00	94.74	90.43	100.00	1.66	0.17	9.00	93.78	89.95	98.56	1.81	0.16	12.00	96.65	90.91	100.00	1.81	0.16	13.00	96.17	90.91	100.00	1.81	0.16	13.00	96.15	90.87	100.00	1.80	0.15	13.00	96.68	91.00	100.00	1.81	0.15	13.00	96.68	91.00	100.00	1.74	0.14	14.00	94.37	90.14	100.00	1.76	0.15	14.00	95.31	90.14	100.00	1.76	0.15	13.00	95.31	90.14	100.00	1.89	0.16	12.00	95.19	89.90	100.00	1.84	0.16	12.00	95.67	89.90	100.00	1.84	0.17	11.00	96.63	90.38	100.00	1.80	0.16	11.00	95.67	89.42	100.00	1.76	0.15	11.00	94.71	89.42	99.52	1.76	0.16	11.00	94.71	89.90	99.52
Switzerland	CHE	1.93	0.19	8.00	100.00	93.97	100.00	1.97	0.20	8.00	99.00	93.00	100.00	1.98	0.16	9.00	99.50	94.55	100.00	1.95	0.18	9.00	100.00	93.07	100.00	1.94	0.18	9.00	98.51	93.07	100.00	1.91	0.17	9.00	98.09	92.82	100.00	1.91	0.17	9.00	98.09	92.82	100.00	1.82	0.17	10.00	97.13	90.43	100.00	1.85	0.17	10.00	97.61	90.91	100.00	1.82	0.17	10.00	96.63	90.87	100.00	1.75	0.16	11.00	95.73	90.52	100.00	1.76	0.16	11.00	94.31	90.05	100.00	1.73	0.15	11.00	93.90	90.14	100.00	1.82	0.16	11.00	96.71	90.14	100.00	1.80	0.16	11.00	96.24	90.14	100.00	1.99	0.17	10.00	98.08	90.87	100.00	1.95	0.17	10.00	97.60	90.87	100.00	1.95	0.19	9.00	98.08	91.83	100.00	1.93	0.18	9.00	98.56	91.35	100.00	1.93	0.17	9.00	99.04	91.83	100.00	1.91	0.17	9.00	99.04	92.31	100.00
Chile	CHL	1.11	0.19	9.00	85.43	71.36	89.95	1.18	0.19	10.00	84.50	77.00	91.00	1.32	0.16	10.00	88.12	84.16	92.57	1.36	0.17	11.00	88.12	83.17	93.07	1.29	0.17	12.00	87.13	82.18	91.09	1.32	0.16	13.00	88.52	83.25	92.34	1.30	0.16	13.00	89.00	83.25	91.39	1.27	0.15	16.00	89.47	82.78	90.43	1.29	0.15	16.00	88.04	83.25	90.91	1.31	0.14	16.00	88.46	83.65	90.87	1.30	0.14	16.00	88.15	83.41	91.00	1.34	0.14	16.00	88.15	83.41	91.00	1.37	0.13	16.00	88.73	84.98	90.61	1.39	0.14	16.00	88.73	86.38	91.08	1.37	0.14	16.00	87.79	85.92	91.55	1.43	0.15	15.00	87.98	86.06	90.38	1.34	0.14	15.00	87.02	82.21	89.90	1.13	0.15	14.00	85.10	79.81	87.98	1.01	0.16	13.00	81.73	76.44	86.06	1.09	0.14	14.00	83.17	77.88	87.02	1.07	0.14	14.00	82.69	77.88	87.02
China	CHN	-0.55	0.19	8.00	33.67	22.11	43.72	-0.46	0.19	9.00	36.50	25.00	47.00	-0.53	0.16	10.00	34.16	26.24	42.08	-0.50	0.17	11.00	37.13	26.73	48.02	-0.53	0.17	11.00	34.65	24.26	45.05	-0.53	0.16	13.00	35.89	24.40	43.06	-0.59	0.15	13.00	33.49	22.97	43.06	-0.64	0.15	14.00	31.10	21.53	43.06	-0.54	0.15	15.00	35.41	24.40	45.93	-0.42	0.14	15.00	39.90	31.25	49.04	-0.41	0.14	16.00	42.65	31.75	49.76	-0.41	0.14	16.00	40.76	31.28	49.29	-0.46	0.13	17.00	39.44	30.05	47.42	-0.54	0.13	17.00	35.68	26.76	46.01	-0.52	0.13	16.00	38.97	27.70	45.54	-0.41	0.15	14.00	38.94	29.81	49.52	-0.41	0.14	14.00	39.90	30.29	49.52	-0.33	0.16	13.00	41.35	31.25	51.92	-0.26	0.15	13.00	44.71	32.69	52.40	-0.20	0.14	13.00	48.08	35.10	55.77	-0.27	0.15	12.00	45.19	32.21	52.40
Côte d'Ivoire	CIV	-0.79	0.21	6.00	25.13	16.08	38.19	-0.88	0.21	8.00	21.50	10.50	32.50	-1.18	0.18	9.00	12.87	2.48	22.77	-1.30	0.18	10.00	8.42	2.97	16.83	-1.37	0.19	10.00	7.43	1.98	15.35	-1.37	0.17	11.00	7.66	2.87	14.83	-1.48	0.17	11.00	4.78	0.48	11.48	-1.45	0.16	12.00	4.31	0.96	10.53	-1.46	0.16	11.00	4.78	1.44	11.00	-1.42	0.14	13.00	5.29	1.44	10.10	-1.23	0.14	15.00	9.95	4.27	17.06	-1.22	0.14	14.00	9.95	4.27	16.11	-1.27	0.13	16.00	8.92	1.88	14.55	-1.08	0.13	17.00	14.55	7.04	21.13	-0.91	0.13	18.00	19.72	11.74	30.05	-0.59	0.14	16.00	32.69	20.67	41.35	-0.63	0.14	16.00	30.77	19.23	40.38	-0.64	0.15	15.00	29.33	17.31	37.02	-0.63	0.15	14.00	29.81	18.27	39.42	-0.58	0.14	14.00	30.77	20.67	41.35	-0.57	0.14	15.00	30.77	21.15	42.31
Cameroon	CMR	-1.44	0.21	6.00	7.04	1.01	16.58	-1.07	0.21	8.00	16.00	6.50	26.50	-1.20	0.18	9.00	12.38	2.48	21.78	-1.23	0.18	10.00	10.40	3.96	18.81	-1.08	0.18	11.00	14.85	7.43	24.75	-1.19	0.17	11.00	11.96	6.22	17.70	-1.21	0.16	12.00	11.48	5.26	19.14	-1.15	0.15	14.00	11.96	6.22	20.10	-1.18	0.15	15.00	11.96	5.26	19.14	-1.10	0.14	15.00	12.98	7.21	21.15	-1.12	0.14	15.00	13.27	4.27	18.96	-1.07	0.14	15.00	13.74	7.58	23.22	-1.07	0.13	17.00	14.55	7.51	22.07	-1.04	0.13	17.00	15.49	8.92	23.94	-1.05	0.13	17.00	14.55	8.92	22.07	-0.90	0.14	16.00	17.79	10.10	28.85	-0.98	0.14	16.00	15.38	8.17	25.96	-1.04	0.15	15.00	13.94	8.17	21.63	-1.03	0.14	15.00	14.90	8.65	21.63	-1.08	0.14	15.00	12.50	6.73	18.27	-1.12	0.14	15.00	11.54	6.73	18.75
Congo. Rep.	COG	-1.04	0.30	5.00	17.59	5.03	32.66	-1.65	0.26	7.00	3.50	0.50	10.50	-1.42	0.23	7.00	4.95	0.99	17.82	-1.25	0.24	7.00	8.91	2.48	22.28	-1.17	0.23	7.00	11.88	3.96	24.75	-1.19	0.21	8.00	11.48	5.26	22.01	-1.47	0.17	10.00	5.26	0.48	11.48	-1.27	0.17	10.00	9.57	2.87	16.27	-1.24	0.17	11.00	10.05	4.31	17.70	-1.20	0.16	11.00	10.10	4.33	19.23	-1.22	0.15	13.00	10.90	4.27	17.06	-1.22	0.14	13.00	9.48	4.27	16.11	-1.20	0.14	13.00	11.27	4.69	16.90	-1.14	0.14	13.00	11.27	5.63	19.72	-1.11	0.14	14.00	12.68	7.04	20.19	-1.11	0.15	13.00	11.54	6.25	19.23	-1.08	0.15	13.00	12.98	5.77	20.67	-1.10	0.17	12.00	12.02	7.69	19.23	-1.10	0.16	12.00	12.02	7.69	20.19	-1.10	0.15	12.00	11.54	6.73	18.27	-1.15	0.15	12.00	10.10	6.73	18.27
