		1996	1996	1996	1996	1996	1996	1998	1998	1998	1998	1998	1998	2000	2000	2000	2000	2000	2000	2002	2002	2002	2002	2002	2002	2003	2003	2003	2003	2003	2003	2004	2004	2004	2004	2004	2004	2005	2005	2005	2005	2005	2005	2006	2006	2006	2006	2006	2006	2007	2007	2007	2007	2007	2007	2008	2008	2008	2008	2008	2008	2009	2009	2009	2009	2009	2009	2010	2010	2010	2010	2010	2010	2011	2011	2011	2011	2011	2011	2012	2012	2012	2012	2012	2012	2013	2013	2013	2013	2013	2013	2014	2014	2014	2014	2014	2014	2015	2015	2015	2015	2015	2015	2016	2016	2016	2016	2016	2016	2017	2017	2017	2017	2017	2017	2018	2018	2018	2018	2018	2018	2019	2019	2019	2019	2019	2019
Country/Territory	Code	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper	Estimate	StdErr	NumSrc	Rank	Lower	Upper
Argentina	ARG	0.08	0.19	9.00	54.27	43.22	62.31	-0.01	0.19	10.00	52.00	41.00	62.50	-0.15	0.16	10.00	48.02	38.61	54.46	-0.76	0.17	11.00	27.72	16.34	37.62	-0.77	0.17	12.00	26.24	15.35	37.13	-0.81	0.16	13.00	23.92	14.83	35.41	-0.55	0.16	13.00	34.93	24.88	44.50	-0.57	0.15	16.00	34.45	24.40	44.50	-0.59	0.15	16.00	34.45	22.01	44.50	-0.68	0.14	16.00	27.88	20.67	38.94	-0.68	0.13	18.00	30.81	18.96	40.28	-0.59	0.13	18.00	33.18	24.17	42.65	-0.56	0.13	19.00	33.33	26.29	44.60	-0.68	0.13	19.00	30.99	20.19	40.85	-0.71	0.13	18.00	29.58	18.78	39.91	-0.89	0.14	16.00	18.75	10.10	29.81	-0.77	0.14	16.00	24.04	13.94	33.17	-0.39	0.15	15.00	37.50	29.81	50.00	-0.25	0.15	15.00	46.15	33.17	52.40	-0.24	0.14	15.00	45.67	34.13	53.85	-0.43	0.14	15.00	37.02	26.92	46.63
Armenia	ARM	-0.47	0.26	5.00	37.69	21.11	48.24	-0.36	0.24	7.00	39.00	25.50	53.50	-0.48	0.21	8.00	36.63	26.24	48.02	-0.42	0.20	10.00	39.60	27.72	50.00	-0.30	0.20	10.00	44.55	30.20	53.96	-0.42	0.18	11.00	39.23	27.75	48.33	-0.40	0.18	12.00	40.19	30.14	49.76	-0.55	0.15	16.00	35.41	24.88	45.45	-0.50	0.15	16.00	37.32	26.32	46.89	-0.34	0.14	16.00	44.71	35.10	52.40	-0.48	0.14	16.00	39.81	28.44	46.92	-0.49	0.13	16.00	37.44	28.91	46.45	-0.44	0.13	16.00	42.25	30.99	48.83	-0.42	0.13	17.00	42.72	32.39	48.36	-0.34	0.13	16.00	44.60	34.74	51.17	-0.37	0.14	15.00	41.35	32.69	51.44	-0.39	0.14	15.00	41.35	30.77	50.00	-0.12	0.16	12.00	50.48	37.50	58.65	-0.16	0.15	12.00	49.52	38.46	56.73	-0.15	0.14	12.00	48.56	38.94	56.73	-0.13	0.15	12.00	49.04	40.87	57.69
American Samoa	ASM	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.85	0.35	1.00	75.60	59.33	90.43	1.12	0.37	1.00	85.65	64.11	94.74	1.08	0.41	1.00	85.65	62.68	93.78	1.11	0.38	1.00	85.17	63.64	92.82	1.13	0.36	1.00	85.10	65.87	93.27	1.13	0.40	1.00	85.31	63.51	96.21	1.12	0.41	1.00	84.83	63.51	95.73	1.10	0.41	1.00	84.98	62.44	96.24	1.10	0.40	1.00	85.45	63.85	94.84	1.11	0.39	1.00	85.45	64.32	94.84	1.41	0.52	1.00	87.50	71.63	100.00	1.35	0.50	1.00	87.98	70.19	100.00	1.34	0.51	1.00	87.98	68.75	100.00	1.36	0.48	1.00	88.46	70.67	100.00	1.36	0.48	1.00	87.98	72.12	100.00	1.34	0.50	1.00	87.98	69.71	100.00
Antigua and Barbuda	ATG	1.05	0.39	2.00	82.91	62.31	94.97	1.09	0.37	2.00	84.00	67.50	93.50	1.06	0.31	2.00	84.16	66.83	92.57	1.06	0.36	2.00	83.17	66.34	93.07	1.07	0.34	2.00	83.17	65.84	93.07	0.92	0.32	3.00	78.95	62.68	91.87	0.67	0.33	3.00	70.33	56.46	86.60	0.93	0.35	3.00	78.95	61.24	90.43	0.91	0.34	3.00	80.38	60.29	89.95	0.95	0.33	3.00	81.73	62.50	89.90	0.98	0.35	3.00	81.52	62.09	91.00	0.96	0.37	3.00	80.57	62.56	91.00	0.95	0.36	3.00	79.81	62.44	90.14	0.95	0.35	3.00	79.34	62.91	90.14	0.84	0.34	3.00	74.65	60.09	88.26	-0.18	0.47	2.00	49.52	15.38	73.56	0.59	0.35	3.00	70.67	57.21	85.10	0.51	0.31	4.00	70.19	54.33	81.25	0.44	0.30	4.00	66.83	51.44	80.29	0.41	0.32	3.00	66.35	50.48	78.85	0.41	0.33	3.00	65.38	49.04	79.33
Australia	AUS	1.71	0.19	8.00	96.48	89.95	100.00	1.80	0.20	8.00	96.50	91.00	100.00	1.75	0.16	8.00	95.05	91.09	100.00	1.80	0.18	8.00	95.54	90.10	100.00	1.88	0.18	9.00	96.04	92.57	100.00	1.82	0.17	9.00	95.69	92.34	100.00	1.72	0.17	9.00	95.22	90.91	100.00	1.77	0.17	10.00	94.26	90.43	100.00	1.76	0.17	10.00	94.26	90.43	100.00	1.77	0.17	10.00	95.19	90.38	100.00	1.74	0.16	11.00	94.79	90.52	100.00	1.76	0.16	11.00	95.26	90.05	100.00	1.74	0.14	12.00	95.77	90.14	100.00	1.77	0.15	12.00	95.77	90.14	100.00	1.78	0.15	12.00	95.77	90.14	100.00	1.92	0.16	11.00	96.15	90.38	100.00	1.83	0.16	11.00	94.71	89.42	100.00	1.76	0.17	10.00	94.71	89.42	100.00	1.68	0.16	10.00	93.27	88.46	99.04	1.71	0.16	10.00	92.79	88.94	99.52	1.73	0.16	10.00	93.27	89.90	99.52
Austria	AUT	1.81	0.19	8.00	97.49	91.96	100.00	1.85	0.20	8.00	97.50	92.00	100.00	1.84	0.16	9.00	98.02	92.57	100.00	1.89	0.18	9.00	97.52	92.57	100.00	1.89	0.18	9.00	96.53	92.57	100.00	1.84	0.17	9.00	96.17	92.34	100.00	1.86	0.17	9.00	97.61	91.87	100.00	1.91	0.17	10.00	98.56	92.82	100.00	1.96	0.17	10.00	99.52	92.82	100.00	1.92	0.17	10.00	98.56	92.31	100.00	1.78	0.16	11.00	96.21	91.00	100.00	1.80	0.16	11.00	96.21	90.52	100.00	1.80	0.14	12.00	96.71	90.61	100.00	1.86	0.15	12.00	97.18	91.08	100.00	1.85	0.15	12.00	97.65	91.55	100.00	1.95	0.16	11.00	96.63	90.38	100.00	1.86	0.16	11.00	96.15	89.90	100.00	1.81	0.17	10.00	95.67	90.38	100.00	1.81	0.16	10.00	96.15	89.42	100.00	1.87	0.16	10.00	97.60	90.87	100.00	1.88	0.16	10.00	97.12	92.31	100.00
Azerbaijan	AZE	-1.20	0.20	6.00	13.07	5.03	21.11	-1.14	0.20	8.00	14.00	6.00	23.00	-1.15	0.16	10.00	13.37	4.46	23.76	-0.91	0.17	11.00	20.30	10.89	32.67	-0.84	0.17	12.00	22.77	13.86	32.67	-0.87	0.16	13.00	20.10	13.40	33.97	-0.79	0.15	14.00	26.32	16.27	34.93	-0.89	0.15	16.00	21.53	11.96	30.62	-0.88	0.15	16.00	21.53	12.44	31.10	-0.83	0.14	15.00	21.63	13.46	33.65	-0.88	0.13	16.00	20.85	14.22	30.81	-0.89	0.13	16.00	20.85	12.80	29.38	-0.89	0.12	16.00	20.19	14.08	30.05	-0.83	0.13	16.00	23.47	15.02	32.39	-0.72	0.13	15.00	28.17	17.84	39.91	-0.67	0.14	14.00	28.85	17.79	37.50	-0.67	0.14	14.00	30.29	17.79	38.46	-0.52	0.16	12.00	32.21	21.63	44.71	-0.56	0.15	12.00	32.21	21.63	41.35	-0.60	0.15	11.00	29.33	18.27	40.87	-0.58	0.15	12.00	30.29	20.19	42.31
Burundi	BDI	-1.42	0.32	4.00	7.54	0.00	21.11	-1.23	0.27	6.00	10.50	3.00	24.00	-1.35	0.26	5.00	7.43	0.99	21.78	-1.25	0.25	7.00	9.41	2.48	22.77	-1.40	0.25	7.00	6.93	0.00	17.33	-1.54	0.23	8.00	5.26	0.00	12.92	-1.15	0.21	9.00	12.44	4.31	24.88	-0.97	0.16	12.00	17.70	10.53	27.75	-1.06	0.16	13.00	13.88	6.70	23.44	-1.02	0.15	13.00	15.87	8.65	24.04	-1.15	0.15	13.00	12.32	4.27	18.01	-1.20	0.15	12.00	11.37	4.27	18.01	-1.14	0.14	13.00	13.62	6.10	19.72	-1.08	0.14	14.00	14.08	7.04	21.60	-1.07	0.14	15.00	14.08	7.51	22.07	-0.97	0.15	14.00	14.90	7.21	26.92	-1.17	0.15	14.00	9.62	5.77	16.35	-1.46	0.16	13.00	7.21	2.40	9.62	-1.40	0.16	11.00	7.21	3.85	10.10	-1.50	0.15	11.00	5.77	3.37	8.17	-1.43	0.15	11.00	5.77	4.33	9.13
Belgium	BEL	1.37	0.19	8.00	89.95	82.41	94.97	1.25	0.20	8.00	86.50	80.50	92.00	1.34	0.16	9.00	88.61	84.16	93.07	1.37	0.18	9.00	89.11	83.17	93.56	1.37	0.18	9.00	89.11	82.67	93.07	1.33	0.17	9.00	89.00	83.25	92.82	1.27	0.17	9.00	88.04	81.82	91.39	1.24	0.17	10.00	88.52	79.43	90.43	1.33	0.17	10.00	89.00	83.25	91.39	1.35	0.17	10.00	89.42	83.65	91.83	1.38	0.16	11.00	88.63	83.89	92.42	1.39	0.16	11.00	89.10	84.83	92.89	1.42	0.14	12.00	89.67	84.98	92.49	1.43	0.15	12.00	89.67	86.38	92.02	1.44	0.15	12.00	89.67	85.92	92.49	1.52	0.16	11.00	88.94	86.06	92.79	1.46	0.16	11.00	88.94	85.10	92.31	1.39	0.17	10.00	88.46	84.62	91.83	1.34	0.16	10.00	87.50	82.69	91.35	1.37	0.16	10.00	88.46	83.17	90.87	1.36	0.16	9.00	88.46	83.65	92.31
Benin	BEN	0.05	0.32	4.00	53.27	37.19	66.33	0.04	0.27	6.00	54.00	37.50	67.50	-0.16	0.24	7.00	46.53	33.66	59.41	-0.23	0.22	8.00	47.52	34.16	57.92	-0.38	0.22	8.00	42.57	26.24	52.97	-0.51	0.21	9.00	36.84	21.53	47.85	-0.54	0.18	11.00	35.41	22.97	44.98	-0.53	0.14	15.00	36.36	25.36	45.45	-0.52	0.15	15.00	36.36	24.88	46.89	-0.53	0.14	15.00	36.54	24.04	46.63	-0.65	0.14	14.00	31.28	19.43	41.23	-0.67	0.14	14.00	29.86	20.38	40.28	-0.66	0.14	14.00	30.52	21.13	42.25	-0.59	0.14	14.00	33.33	24.41	44.60	-0.57	0.14	15.00	34.27	24.41	44.60	-0.49	0.15	13.00	36.06	26.92	46.63	-0.54	0.15	14.00	33.65	23.56	45.67	-0.61	0.16	13.00	30.77	17.79	40.87	-0.62	0.15	13.00	30.29	18.27	39.42	-0.68	0.15	13.00	26.92	17.31	35.10	-0.66	0.15	13.00	26.92	18.27	38.46
