country,2013,2014,2015,2016,2017,2018
ARG,0.389,0.391,0.392,0.393,0.388,0.396
BOL,0.48,0.471,0.454,0.466,0.461,0.438
BRA,0.522,0.514,0.511,0.532,0.533,0.54
CHL,0.466,0.46,0.453,0.454,0.454,0.454
COL,0.54,0.54,0.524,0.521,0.511,0.52
ECU,0.47,0.449,0.462,0.45,0.444,0.454
PAR,0.495,0.522,0.494,0.497,0.503,0.474
PER,0.453,0.446,0.449,0.452,0.448,0.439
URY,0.397,0.392,0.392,0.391,0.39,0.391
VEN,0.388,0.378,0.381,0.38,0.381,0.377
AL,0.48,0.47,0.47,0.47,0.46,0.46
