country,2013,2014,2015,2016,2017,2018
ARG,13,13,14.1,14.2,14.6,13.5
BOL,10.9,11.6,12.5,12.6,12.7,12.7
BRA,15.4,15.9,16.3,17.3,17.6,17.7
CHL,14.7,15,15.8,16.1,16.4,16.4
COL,12.8,12.9,13,12.5,13.4,12.6
ECU,9.2,8.5,8.4,8.8,9.2,9
PAR,8.2,8.4,8.8,8.5,8.6,8.6
PER,10.3,11.1,11,10.4,11.4,11.1
URY,14.2,14.3,14.9,15.9,16.8,17.2
VEN,16.1,18.8,18.8,18.8,18.8,18.8
AL,10.9,10.9,11.2,11.3,11.5,11.3
